movie_id,title,rating,comment,helpful_count,helpful_total,has_spoiler
tt0048287,Spectacular and exciting adaptation about ¨ El Alamo¨ with epic finale battle,6.0,"In the habitual group of various characters we find the starring Jim Bowie of ¨Bowie knife¨ fame (Sterling Hayden) who held command until stricken with typhoid-pneumonia , Colonel William Barret Travis (Richard Carlson) , commander of the small garrison of some 180 men and Davy Crockett of Tenesse (Arthut Hunnicutt) who had arrived with a dozen volunteers . They're guarding El Alamo against a Mexican militia commanded by General Antonio Lopez De Santa Anna , President of Mexico (J. Carroll Nash) . They're featured in more realistic roles than successive films , though here predominates the melodrama . It's a spectacular film hampered by a tiring screenplay and including Max Steiner's excellent score with a title song by Gordon McRae . The motion picture well produced by Republic's founder , Herbert J. Yates, was professionally directed by Frank Lloyd . Subsequently , five years later , John Wayne made his own retelling : ¨El Álamo¨ (1960) , utilizing a lot of the still-standing sets that were used in this movie . The film is rightly based on historic events , these are the followings : On 23 February 1836 a army of 5000 entered San Antonio. When Santa Anna demanded the surrender, William Travis answered with a cannon shot. So began thirteen day siege that ended with the Mexicans storming the fortress, the defenders, to a man , fought on until death .With bugles sounding the ¨deguello¨(signifying no quarter to the defenders) attacked the adobe walls from all four sides and broke through. Travis was shot dead over his cannon . Crockett using his rifle as a club, fell under a swarm of the enemy . Bowie fought to the last from his sickbead. The Mexicans had won a Pyrrhic victory suffering more than 1500 casualties. Forty six days after the fall ,less than 800 Texans and American volunteers led by General San Houston defeated Santa Anna and his army of 1300 at San Jacinto. Shouting ¨Remember the Alamo¨ Houston's men completely routed the Mexicans in a matter of minutes, killing 630 while losing only 8. Santa Anna was captured, and the Republic of Texas was born.",33,38,False
tt0048287,One of Republic's best,8.0,"Frank Lloyd's career stretched back to the silent era--he was a major director and made films for the top studios in Hollywood. Winding up at a B studio like Republic would seem to be a step down the career ladder, but this film is actually one of Lloyd's best and one of the best to ever come out of Republic.The studio didn't often get the services of directors of the calibre of Frank Lloyd--although John Ford and Fritz Lang had occasionally made films there--and it spared no expense on this one. The subject matter demanded a big budget, and Republic didn't stint. Thousands of extras, big sets, spectacular action scenes, robust performances--all combined to make a first-rate action picture. Sterling Hayden makes a good Jim Bowie, the always underrated Arthur Hunnicutt personifies Davy Crockett, and the cast is filled with familiar character actors--Roy Roberts, Slim Pickens, John Russell, Jim Davis--who contribute much to the overall atmosphere of the film. The setpiece of the movie, though, is the final siege of the Alamo itself, and it is spectacular. It compares well to the John Wayne version made five years later, and ranks right up there with the final battle scene in 1964's ""Zulu""--expertly edited with top-notch stunt-work and special effects. Very highly recommended.",30,37,False
tt0048287,First and Best,,"I always liked this Alamo epic better than Wayne's because it moved faster and Sterling Hayden and Arthur Hunnicutt looked like Jim Bowie and Davy Crockett might have been.  Hunnicutt's death scene  influenced Wayne's in his epic but I'll rate Hunnicutt's an A+ for less ""operatic"" posing and a more real ""I'll take you to hell with me realism.   The teeny bopper love angle could've of been dropped though.",21,29,False
tt0048287,Rated as the best of the Alamo films.,9.0,"Amoung alot of historians and reenactors, this is the best Alamo film ever made. It was very well done, acted, and directed. An all around great job by all! Alamo: Price of Freedom is the most accurate film ever made, but this film is considered the best by far!",16,26,False
tt0048287,Historic accuracy vs bravery,8.0,"While not totally historically accurate, this film is at least as accurate, if not more so, than most of the other Alamo epics. There are points in all the films that are arguable, if not totally wrong. However, I have researched most of the Alamo films and find this one more accurate from the viewpoint of the depiction of the Mexicans in the Alamo and some of the more personal facts about Bowie. For example, the death of his wife sometime before the start of the battle. No Alamo film is totally accurate, including the newly made Alamo with Billy Bob Thornton and Dennis Quaid. The important thing is that this is the story of brave men fighting a battle they cannot win against a far larger army. The spirit of the story is the important thing in this case.",19,23,False
tt0048287,"Rousing, if Modestly Budgeted...",,"'The Last Command' is a film with a better backstory than the film itself! First batted around Republic Pictures as a potential vehicle for John Wayne, the production was put on the back burner when Wayne decided he wanted total creative control, and decided to produce and direct his own version, with a budget Republic couldn't match.Republic DID, however, have an arsenal of talent available, and a shooting script, and eventually brought in veteran director Frank Lloyd, who had just come off a ten-year hiatus with 'The Shanghai Story', in 1954. Sterling Hayden, fresh from the cult classic 'Johnny Guitar', and a featured role in Fox's lavish 'Prince Valiant', signed to play Jim Bowie (""I needed the money to refit my boat,"" he joked). Richard Carlson, whose 'Creature from the Black Lagoon' had just been released by Universal (becoming a big hit) was tapped to play Alamo commander William Barret Travis. Ernest Borgnine, whose 'Marty' was garnering rave reviews (and would earn him an Oscar) took on the showy supporting role of Bowie adversary/friend Mike Radin and starlet Anna Maria Alberghetti, in her first non-singing role, became the female lead. Two veteran character actors rounded out the major cast: J. Carrol Naish, as a sympathetic yet decisive Santa Anna, and, in an offbeat but inspired casting move, bearded Arthur Hunnicutt as a rustic Davy Crockett (who would very nearly steal the film!).The production was very modestly budgeted, so much so that the number of extras serving as the Mexican army was limited, but director Lloyd and cinematographer Jack Marta were old hands at making more out of less, and with some judicious editing by Tony Martinelli, the illusion of thousands of Mexican soldiers was achieved. Set design was minimal, as well, and the famous 'look' of the church/fortress was often achieved through mat paintings.Scored by the legendary Max Steiner, with a theme sung by Gordon MacRae, 'The Last Command' seemed to teeter at the edge between 'B' movie and 'A' status; ultimately, the pedestrian script, by Sy Bartlett and Warren Duff, did the movie in, as there was too much time spent on an unnecessary love triangle, which slowed much of the film to a crawl. Despite an unforgettable final battle, audiences avoided the film, and it quickly faded from sight.Unfortunately, John Wayne didn't learn from 'The Last Command', and he added a love story to his 'Alamo', with the same lethargic result; Crockett's explosive demise (historically inaccurate, but rousing!) must have impressed him, as well, as he staged an even bigger version of it in his film.'The Last Command' is a curio, but is enjoyable, for the most part, and the spectacular final assault makes it a must for any action fan's collection!",17,22,False
tt0048287,A couple problems,1.0,"I found the movie to be lacking in some key areas.  For a movie to be historically based, it should be factually historically based. Some parts of the movie, like the friendship between to key figures, and the cause of the death of James Bowie, were not factually based.  One thing I was happy to note, though, was that Susanna Dickenson did really exist like the movie says.  But, being a Texan, I was very disappointed in the movie itself.",5,22,False
tt0048287,"While not historically accurate, very entertaining and well done.",9.0,"Good casting was the hallmark of this version of the Alamo. Sterling Hayden did an excellent job of playing Jim Bowie. History has changed the projection of these indomidable heroes, but the movies wouldn't be quite as popular if they portrayed Jim Bowie as an adventurer running from the law, Travis as a divorced lawyer. But Davie Crocket always manages to emerge as a real life hero. This and most other versions of the Alamo overlooks the fact that the Mexican army had just finished putting down rebellions all over Texas and the Mexican government was very generous in awarding newcomers homesteads free for the taking. But then came the Taxation, hence the rebellions of Texicans and Mexicans. The story was entertaining and left us feeling like the Alamo defenders were truly heroes.",14,21,False
tt0048287,Bean bandits and hillbillies tussel at old church,6.0,"Another in a long line of Alamo films, this one was no better than the others and they were pretty mundane. I bellowed when Davy Crockett entered the picture and it was none other than old Arthur Hunnicutt. His toothy, good natured ""howdy boys"" left me on the floor rolling. A prolific western maker, Sterling Hayden does his usual average job in a so-so movie.",8,21,False
tt0048287,Hardly the real Jim Bowie,6.0,"This is a version of the Alamo story often overlooked mainly because it focuses on Jim Bowie as opposed to Davy Crockett as the central character. Sterling Hayden in one of the many roles he truly hated before escaping to the seas is a stalwart and heroic Bowie.As I said though in another review of a film with Bowie as the central character, Jim Bowie was anything but heroic. He was a land swindler, slave dealer, no good con man who very few people had anything nice to say about. He was a tough guy though, no question about that and the famous Bowie knife was made to his specifications.Bowie was married into the Mexican aristocracy and did suffer the horrible tragedy of having his wife and children taken in an epidemic of the plague. We never see them here or in the John Wayne film or in the new Disney epic.Possibly the best acting honors do go to Arthur Hunnicutt who was more the backwoods character that Davy Crockett was then John Wayne. Billy Bob Thornton in the 2004 Alamo was probably the best Davy Crockett ever put on film and the most accurate.Probably too much is now known for the general public to appreciate a film like The Last Command. The principals at the Alamo were three dimensional characters and not the cardboard cutouts they are here.",13,20,False
