movie_id,title,rating,comment,helpful_count,helpful_total,has_spoiler
tt0048287,"Spectacular and exciting adaptation about "" El Alamo"" with epic finale battle",6.0,"In the habitual group of various characters we find the starring Jim Bowie of ""Bowie knife"" fame (St",33,38,False
tt0048287,One of Republic's best,8.0,Frank Lloyd's career stretched back to the silent era--he was a major director and made films for th,30,37,False
tt0048287,First and Best,,I always liked this Alamo epic better than Wayne's because it moved faster and Sterling Hayden and A,21,29,False
tt0048287,Rated as the best of the Alamo films.,9.0,"Amoung alot of historians and reenactors, this is the best Alamo film ever made. It was very well do",16,26,False
tt0048287,Historic accuracy vs bravery,8.0,"While not totally historically accurate, this film is at least as accurate, if not more so, than mos",19,23,False
tt0048287,"Rousing, if Modestly Budgeted.",,'The Last Command' is a film with a better backstory than the film itself! First batted around Repub,17,22,False
tt0048287,A couple problems,1.0,"I found the movie to be lacking in some key areas.  For a movie to be historically based, it should ",5,22,False
tt0048287,"While not historically accurate, very entertaining and well done.",9.0,Good casting was the hallmark of this version of the Alamo. Sterling Hayden did an excellent job of ,14,21,False
tt0048287,Bean bandits and hillbillies tussel at old church,6.0,"Another in a long line of Alamo films, this one was no better than the others and they were pretty m",8,21,False
tt0048287,Hardly the real Jim Bowie,6.0,This is a version of the Alamo story often overlooked mainly because it focuses on Jim Bowie as oppo,13,20,False
tt0048287,Rousing tale of the heroes of the Alamo,9.0,"As the story goes.when John Wayne was at Republic Studioes, he approached owner Herbert J. Yates wit",16,20,False
tt0048287,The Part John Wayne Lost,8.0,Studio politics prevented John Wayne from getting the role he coveted.Wayne would have to wait nearl,16,19,False
tt0048287,Even worse than John Wayne,1.0,"It doesn't seem possible that an Alamo movie could be worse than John Wayne's great bomb, but this m",4,18,True
tt0048287,Inaccurate history.enjoyable film!,8.0,"While this is another of the ""historically inaccurate"" versions of the Texas Revolution and the Batt",12,18,False
tt0048287,"Not a minute is wasted in the script, music and acting to enhance the best portrayal on screen of the two sides that confront in an unbettered action at the Alamo.",10.0,Max Steiners stirring melodic score gives the already wonderful script and superb acting the icing o,14,17,False
tt0048287,A victim of studio politics.,,"Commentator ""bux"" is right that John Wayne wanted to do this picture and that Republic Studio boss H",4,16,False
tt0048287,A different perspective,,"Previous posters have covered the back history of this film.some inaccurately, by the way. First of ",9,15,False
tt0048287,Pretty good.,8.0,"This film is different from the John Wayne film ""The Alamo"" because instead of focusing on action, """,10,13,False
tt0048287,Good Action Film,,"Frankly, I don't watch movies expecting to see historical accuracy. Movies are basically a commercia",11,12,False
tt0048287,"""The Last Command"" is better than average despite the budget",,"Old time director and Hollywood pioneer Frank Lloyd made his final picture (""The Last Command"") for ",10,11,True
tt0048287,Beautifu color and beautiful music .seldom in one place,10.0,"I saw ""The Last Command"" twice in my hometown at the theater in 1955. In the 70's, I saw it several ",8,11,False
tt0048287,The Alamo Village,,"The movie was shot at what today is called ""The Alamo Village"" in Blackettville Texas. It was not bu",4,10,False
tt0048287,Minor epic holds up well,,"Made in spite by Yates, well shot and mounted, replete with an excellent cast, 'The Last Command' st",8,10,False
tt0048287,Republic Pictures take on the Alamo legend.,6.0,"Forget any adherence to historical facts, directed by Frank Lloyd and with a Warren Duff screenplay,",9,9,False
tt0048287,Bowie was a slave smuggler and trader,5.0,This is a disgusting tribute to a person who was a slave smuggler and trader. A slave trader. One of,3,8,False
tt0320691,Quit whining and enjoy yourselves.,,"I knew I was in trouble when I saw the previews for this film, I loved them.I know I would love this",222,324,False
tt0320691,Surprisingly good! I'm impressed!,8.0,As soon as I saw the preview to this film I wrote it off as a silly Matrix rip-off trying to attack ,206,270,False
tt0320691,Better than people want to admit,7.0,"I can understand why some people were unwilling to give this movie a chance. I started out thinking,",151,234,False
tt0320691,Ignore.,7.0,"Everything you've heard from the critics, everything you know about vampires and werewolves, everyth",96,130,False
tt0320691,Can't wait for the sequel!,8.0,"I have just watched Underworld for the second time, and I was gratified to discover that it was ever",71,107,False
tt0320691,Features on the 2 Disc DVD Make It the Way to Go,,"The ""Underworld"" sequel will soon be out so now is a good time to revisit the original. Personally I",71,97,False
tt0320691,Underworld. A new legend is born.,10.0,"Let me start this review by saying that, while this work is NOT scary, it was not MEANT to be scary.",58,91,True
tt0320691,New Blood For Vampire Legends,7.0,"""Underworld"" is no ordinary horror movie.  It tells the tale of a secret war between vampires and we",59,83,False
tt0320691,"Expect Nothing, get a little more",6.0,"I enjoyed Underworld. I expected it to be absurd, awful, plot-less and pointless. While it is certai",45,74,False
tt0320691,If They Show Movies In Hell.,1.0,.Underworld will be on the Ultra Screen.  *shudder*Oh my God is this movie awful.  One of the most w,37,74,True
tt0320691,A lot Better Than Expected,8.0,"When Underworld was release in the theaters I didn't bother seeing it, because of the bad reviews. I",53,73,False
tt0320691,Cool!,10.0,"I liked this movie. Definatley a different take on vampires, other than the things we've seen in buf",37,70,False
